Hour,AT,BA,BG,CH,CZ,DE,ES,FR,GR,HR,IT,NO,PL,PT,RO,SK
1,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
2,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
3,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
4,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
5,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
6,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
7,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
8,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
9,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
10,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
11,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
12,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
13,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
14,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
15,263.5511926750292,26.452380952380953,40.350750390151454,128.19001632810554,3.5334422426142376,20.003612708800595,39.782615059591706,0.0,49.69047619047619,59.99553974932358,304.57759903724883,106.91447962218696,0.515559291121196,361.2083333333339,177.2510532363079,4.414586365121866
