Hour,AL,AT,BA,BG,CH,CZ,DE,ES,FI,FR,GR,HR,IT,ME,MK,NO,PL,PT,RO,RS,SE,SI,SK
17,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
18,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
19,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
20,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
21,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
22,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
23,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
24,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
25,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
26,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
27,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
28,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
29,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
30,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
31,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
